category_code,category_name,program_code,program_name,commodity_code,commodity_name
B9,AUTO ENVIRON QLTY INCENTIVE PG,3030,AUTOMATED ENVIRONMENTAL QUALITY INCENTIVE PROGRAM,0000,N/A
C1,AUTO AG CONSERV PG ENVIRN ANNUAL,3015,AUTOMATED AG CONSERV PROG ENVIRONMENTAL  ANNUAL,0000,N/A
C2,AUTO AG CONS PG ENVIRN LONG TERM,3215,AUTOMATED AG CONSERV PROG ENVIRONMENTAL  LONG TERM,0000,N/A
D5,AUTO CRP - COST SHARES,3305,AUTOMATED CONSERVATION RESERVE PROGRAM - COST SHARE,0000,N/A
D5,AUTO CRP - COST SHARES,3306,AUTO CRP - COST SHARE,0000,N/A
D6,IDAHO OUST PROGRAM,7855,IDAHO OUST PROGRAM,0000,N/A
D7,MARKET LOSS ONION PRODUCER PROG,6020,NEW YORK ONION PRODUCER PROGRAM,0000,N/A
D8,DIRECT AND COUNTER CYCLICAL PROG,6740,DIRECT/COUNTER CYCLICAL PAYMENT - WHT,1000,WHEAT
D8,DIRECT AND COUNTER CYCLICAL PROG,6740,DIRECT/COUNTER CYCLICAL PAYMENT - CORN,2000,CORN
D8,DIRECT AND COUNTER CYCLICAL PROG,6740,DIRECT/COUNTER CYCLICAL PAYMENT - BRLY,2200,BARLEY
D8,DIRECT AND COUNTER CYCLICAL PROG,6740,DIRECT/COUNTER CYCLICAL PAYMENT - OATS,2300,OATS
D8,DIRECT AND COUNTER CYCLICAL PROG,6740,DIRECT/COUNTER CYCLICAL PAYMENT - FLX,2500,FLAX
D8,DIRECT AND COUNTER CYCLICAL PROG,6740,DIRECT/COUNTER CYCLICAL PAYMENT - SOYA,2600,SOYBEAN
D8,DIRECT AND COUNTER CYCLICAL PROG,6740,DIRECT/COUNTER CYCLICAL PAYMENT - SORG,2700,SORGHUM
D8,DIRECT AND COUNTER CYCLICAL PROG,6740,DIRECT/COUNTER CYCLICAL PAYMENT - PEANUT,4210,PEANUT
D8,DIRECT AND COUNTER CYCLICAL PROG,6740,DIRECT/COUNTER CYCLICAL PAYMENT - UPLAND COTTON,6100,UPCN
D8,DIRECT AND COUNTER CYCLICAL PROG,6740,DIRECT/COUNTER CYCLICAL PAYMENT - SEME,6900,SESAME
D8,DIRECT AND COUNTER CYCLICAL PROG,6740,DIRECT/COUNTER CYCLICAL PAYMENT - SUNFLOWER,7100,SUNFLOWER
D8,DIRECT AND COUNTER CYCLICAL PROG,6740,DIRECT/COUNTER CYCLICAL PAYMENT - CANOLA,7200,CANOLA
D8,DIRECT AND COUNTER CYCLICAL PROG,6740,DIRECT/COUNTER CYCLICAL PAYMENT - RAP,7300,RAPE SEED
D8,DIRECT AND COUNTER CYCLICAL PROG,6740,DIRECT/COUNTER CYCLICAL PAYMENT - SAFLOWER,7400,SAFFLOWER
D8,DIRECT AND COUNTER CYCLICAL PROG,6740,DIRECT/COUNTER CYCLICAL PAYMENT - MUS,7600,MUSTARD
D8,DIRECT AND COUNTER CYCLICAL PROG,6740,DIRECT/COUNTER CYCLICAL PAYMENT - CRAM,8000,CRAMBE SEED
D8,DIRECT AND COUNTER CYCLICAL PROG,6740,DIRECT/COUNTER CYCLICAL PAYMENT - RICE,9500,RICE
D8,DIRECT AND COUNTER CYCLICAL PROG,6742,DCP PROGRAM - DIRECT PAYMENTS,0000,N/A
D8,DIRECT AND COUNTER CYCLICAL PROG,6745,DIRECT/COUNTER CYCLICAL PAYMENT - WHT,1000,WHEAT
D8,DIRECT AND COUNTER CYCLICAL PROG,6745,DIRECT/COUNTER CYCLICAL PAYMENT - CORN,2000,CORN
D8,DIRECT AND COUNTER CYCLICAL PROG,6745,DIRECT/COUNTER CYCLICAL PAYMENT - BRLY,2200,BARLEY
D8,DIRECT AND COUNTER CYCLICAL PROG,6745,DIRECT/COUNTER CYCLICAL PAYMENT - OATS,2300,OATS
D8,DIRECT AND COUNTER CYCLICAL PROG,6745,DIRECT/COUNTER CYCLICAL PAYMENT - FLX,2500,FLAX
D8,DIRECT AND COUNTER CYCLICAL PROG,6745,DIRECT/COUNTER CYCLICAL PAYMENT - SOYA,2600,SOYBEAN
D8,DIRECT AND COUNTER CYCLICAL PROG,6745,DIRECT/COUNTER CYCLICAL PAYMENT - SORG,2700,SORGHUM
D8,DIRECT AND COUNTER CYCLICAL PROG,6745,DIRECT/COUNTER CYCLICAL PAYMENT - PEANUT,4210,PEANUT
D8,DIRECT AND COUNTER CYCLICAL PROG,6745,DIRECT/COUNTER CYCLICAL PAYMENT - UPLAND COTTON,6100,UPCN
D8,DIRECT AND COUNTER CYCLICAL PROG,6745,DIRECT/COUNTER CYCLICAL PAYMENT - SEME,6900,SESAME
D8,DIRECT AND COUNTER CYCLICAL PROG,6745,DIRECT/COUNTER CYCLICAL PAYMENT - SUNFLOWER,7100,SUNFLOWER
D8,DIRECT AND COUNTER CYCLICAL PROG,6745,DIRECT/COUNTER CYCLICAL PAYMENT - CANOLA,7200,CANOLA
D8,DIRECT AND COUNTER CYCLICAL PROG,6745,DIRECT/COUNTER CYCLICAL PAYMENT - RAPE SEED,7300,RAPE SEED
D8,DIRECT AND COUNTER CYCLICAL PROG,6745,DIRECT/COUNTER CYCLICAL PAYMENT - SAF,7400,SAFFLOWER
D8,DIRECT AND COUNTER CYCLICAL PROG,6745,DIRECT/COUNTER CYCLICAL PAYMENT - MUS,7600,MUSTARD
D8,DIRECT AND COUNTER CYCLICAL PROG,6745,DIRECT/COUNTER CYCLICAL PAYMENT - CRAM,8000,CRAMBE SEED
D8,DIRECT AND COUNTER CYCLICAL PROG,6745,DIRECT/COUNTER CYCLICAL PAYMENT - RICE,9500,RICE
D8,DIRECT AND COUNTER CYCLICAL PROG,6747,DCP PROGRAM - COUNTER CYCLICAL PAYMENTS,0000,N/A
D8,DIRECT AND COUNTER CYCLICAL PROG,6750,DIRECT/COUNTER CYCLICAL PAYMENT VIOLATIONS - WHT,1000,WHEAT
D8,DIRECT AND COUNTER CYCLICAL PROG,6750,DIRECT/COUNTER CYCLICAL PAYMENT VIOLATIONS - BRLY,2200,BARLEY
D8,DIRECT AND COUNTER CYCLICAL PROG,6750,DIRECT/COUNTER CYCLICAL PAYMENT VIOLATIONS - OATS,2300,OATS
D8,DIRECT AND COUNTER CYCLICAL PROG,6750,DIRECT/COUNTER CYCLICAL PAYMENT VIOLATIONS - FLX,2500,FLAX
D8,DIRECT AND COUNTER CYCLICAL PROG,6750,DIRECT/COUNTER CYCLICAL PAYMENT VIOLATIONS - SORG,2600,SOYBEAN
D8,DIRECT AND COUNTER CYCLICAL PROG,6750,DIRECT/COUNTER CYCLICAL PAYMENT VIOLATIONS - SORG,2700,SORGHUM
D8,DIRECT AND COUNTER CYCLICAL PROG,6750,DIRECT/COUNTER CYCLICAL PAYMENT VIOLATIONS - PEANUT,4210,PEANUT
D8,DIRECT AND COUNTER CYCLICAL PROG,6750,DIRECT/COUNTER CYCLICAL PAYMENT VIOLATIONS - UPLAND COTTON,6100,UPCN
D8,DIRECT AND COUNTER CYCLICAL PROG,6750,DIRECT/COUNTER CYCLICAL PAYMENT VIOLATIONS - SEME,6900,SESAME
D8,DIRECT AND COUNTER CYCLICAL PROG,6750,DIRECT/COUNTER CYCLICAL PAYMENT VIOLATIONS - SUNFLOWER,7100,SUNFLOWER
D8,DIRECT AND COUNTER CYCLICAL PROG,6750,DIRECT/COUNTER CYCLICAL PAYMENT VIOLATIONS - CANOLA,7200,CANOLA
D8,DIRECT AND COUNTER CYCLICAL PROG,6750,DIRECT/COUNTER CYCLICAL PAYMENT VIOLATIONS - RAPE SEED,7300,RAPE SEED
D8,DIRECT AND COUNTER CYCLICAL PROG,6750,DIRECT/COUNTER CYCLICAL PAYMENT VIOLATIONS - SAF,7400,SAFFLOWER
D8,DIRECT AND COUNTER CYCLICAL PROG,6750,DIRECT/COUNTER CYCLICAL PAYMENT VIOLATIONS - MUS,7600,MUSTARD
D8,DIRECT AND COUNTER CYCLICAL PROG,6750,DIRECT/COUNTER CYCLICAL PAYMENT VIOLATIONS - CRAM,8000,CRAMBE SEED
D8,DIRECT AND COUNTER CYCLICAL PROG,6750,DIRECT/COUNTER CYCLICAL PAYMENT VIOLATIONS - RICE,9500,RICE
D8,DIRECT AND COUNTER CYCLICAL PROG,6751,DIRECT/COUNTER CYCLICAL PROGRAM - LATE FEES,0000,N/A
D8,DIRECT AND COUNTER CYCLICAL PROG,7920,DIRECT/COUNTER CYCLICAL PAYMENT LIMITATION CLAIM COLLECTIONS,0000,N/A
D8,DIRECT AND COUNTER CYCLICAL PROG,7920,DIRECT/COUNTER CYCLICAL PAYMENT LIMITATION RECEIVABLE,0000,N/A
D9,PEANUT QUOTA BUYOUT PROGRAM,5228,QUOTA PEANUT BUY OUT PROGRAM,0000,N/A
E1,LIVESTOCK COMPENSATION PROGRAM,2555,LIVESTOCK COMPENSATION PROGRAM,0000,N/A
E1,LIVESTOCK COMPENSATION PROGRAM,2556,LIVESTOCK COMPENSATION PROG - HURRICANE,0000,N/A
E1,LIVESTOCK COMPENSATION PROGRAM,2560,LIVESTOCK COMPENSATION PROGRAM - PHASE 2,0000,N/A
E1,LIVESTOCK COMPENSATION PROGRAM,2578,LIVESTOCK COMPENSATION PROGRAM,0000,N/A
E2,AUTO RURAL CLEAN WATER PROGRAM,4705,AUTOMATED RURAL CLEAN WATER PROGRAM,0000,N/A
E3,TREE ASSISTANCE PROGRAM,2673,AUTOMATED TREE ASSISTANCE PROGRAM,0000,N/A
E3,TREE ASSISTANCE PROGRAM,2694,TREE ASSISTANCE PROGRAM - MICHIGAN,0000,N/A
E3,TREE ASSISTANCE PROGRAM,2696,TREE ASSISTANCE PROGRAM - NY FRUIT GROWERS,0000,N/A
E3,TREE ASSISTANCE PROGRAM,2698,TREE ASSISTANCE - CALIFORNIA CITRUS GROWERS,0000,N/A
E3,TREE ASSISTANCE PROGRAM,2712,TREE ASSISTANCE PROGRAM - ORCHARDS,0000,N/A
E3,TREE ASSISTANCE PROGRAM,2713,TREE ASSISTANCE PROGRAM - PECANS,0000,N/A
E3,TREE ASSISTANCE PROGRAM,2714,TREE ASSISTANCE PROGRAM - TIMBER,0000,N/A
E3,TREE ASSISTANCE PROGRAM,2733,TREE ASSISTANCE PROGRAM - HURRICANE,0000,N/A
E3,TREE ASSISTANCE PROGRAM,2747,TREE ASSISTANCE PROGRAM,0000,N/A
E3,TREE ASSISTANCE PROGRAM,2755,TREE ASSISTANCE PROGRAM,0000,N/A
E3,TREE ASSISTANCE PROGRAM,2757,TREE ASSISTANCE REGULAR,0000,N/A
E3,TREE ASSISTANCE PROGRAM,2759,TREE ASSISTANCE MICHIGAN,0000,N/A
E3,TREE ASSISTANCE PROGRAM,2760,TREE ASSISTANCE PROGRAM,0000,N/A
E3,TREE ASSISTANCE PROGRAM,2761,TREE ASSISTANCE PROGRAM,0000,N/A
E3,TREE ASSISTANCE PROGRAM,2834,TREE ASSISTANCE PROGRAM,0000,N/A
E5,OCEAN TRNSP/OTH NON-COMMDY COSTS,7830,OCEAN TRANSPORTATION SECTION 416,0000,N/A
E5,OCEAN TRNSP/OTH NON-COMMDY COSTS,7831,TRANSPORTATION - FOOD FOR PROGRESS,0000,N/A
E5,OCEAN TRNSP/OTH NON-COMMDY COSTS,7832,TRANSPORTATION - PRESIDENT'S WHEAT INITIATIVE,0000,N/A
E5,OCEAN TRNSP/OTH NON-COMMDY COSTS,7833,OCEAN TRANSPORATION -,0000,N/A
E5,OCEAN TRNSP/OTH NON-COMMDY COSTS,7834,OTHER DONATED COMMODITIES - OCEAN TRANSPORATION,0000,N/A
E5,OCEAN TRNSP/OTH NON-COMMDY COSTS,7835,OTHER PURCHASED COMMODITIES - OCEAN TRANSPORATION,0000,N/A
E5,OCEAN TRNSP/OTH NON-COMMDY COSTS,7836,FREIGHT - BILL EMERSON HUMANITARIAN TRUST,0000,N/A
E6,AUTO ANA-CONSERVATION ANNUAL,3010,AUTOMATED CONSERVATION ANNUAL,0000,N/A
E7,AUTO LTA-CONSERVATION LONG TERM,3220,AUTOMATED CONSERVATION LONG TERM,0000,N/A
E8,MILK INCOME LOSS CONTRACT,2628,NON-AUTOMATED MILC,0000,N/A
E8,MILK INCOME LOSS CONTRACT,8010,MILK INCOME LOSS CONTRACT PROGRAM,0000,N/A
E8,MILK INCOME LOSS CONTRACT,8011,MILK INCOME LOSS CONTRACT PROGRAM,0000,N/A
E8,MILK INCOME LOSS CONTRACT,8016,MILK INC LOSS CONTRACT TRANSITIONAL PAYMENTS,0000,N/A
E9,MILK INC LOSS CONTR TRANSITIONAL,8015,MILK INC LOSS CONTRACT TRANSITIONAL PAYMENTS,0000,N/A
F1,CATTLE FEED PROGRAM,2679,CATTLE FEED PROGRAM - NONFAT MILK,1100,CATTLE FEED
F2,AVIAN INFLUENZA INDEMNITY PROG,8270,AVIAN INFLUENZA INDEMNITY PROGRAM,0000,N/A
F3,TOBACCO PAYMENT PROGRAM,5274,TOBACCO PAYMENT PROGRAM - BURLEY,7071,BURLEY
F3,TOBACCO PAYMENT PROGRAM,5274,TOBACCO PAYMENT PROGRAM - FIRE-CURED,7072,FIRE-CURED
F3,TOBACCO PAYMENT PROGRAM,5274,TOBACCO PAYMENT PROGRAM - FLUE CURED,7073,FLUE-CURED
F3,TOBACCO PAYMENT PROGRAM,5274,TOBACCO PAYMENT PROGRAM - VIRGINIA SUN-CURED,7074,VIRGINIA SUN-CURED
F3,TOBACCO PAYMENT PROGRAM,5274,TOBACCO PAYMENT PROGRAM - VIRGINIA FIRE-CURED,7075,VIRGINIA FIRE-CURED
F3,TOBACCO PAYMENT PROGRAM,5274,TOBACCO PAYMENT PROGRAM - DARK AIR-CURED,7076,DARK AIR-CURED
F3,TOBACCO PAYMENT PROGRAM,5274,TOBACCO PAYMENT PROGRAM - CIGAR-FILLER & BINDER,7077,CIGAR BINDER/FILLER
F4,01-02 CROP DISASTER ASSISTANCE,2687,01-02 CROP DISASTER ASSISTANCE PROGRAM,0000,N/A
F5,GRASSLANDS RESERVE PROGRAM,3050,GRASSLANDS RESERVE PROGRAM,0000,N/A
F5,GRASSLANDS RESERVE PROGRAM,3052,GRASSLANDS RESERVE PROGRAM,0000,N/A
F5,GRASSLANDS RESERVE PROGRAM,3053,GRASSLANDS RESERVE PROGRAM,0000,N/A
F5,GRASSLANDS RESERVE PROGRAM,3054,GRASSLANDS RESERVE PROGRAM,0000,N/A
F5,GRASSLANDS RESERVE PROGRAM,3070,GRASSLANDS RESERVE PROGRAM,0000,N/A
F6,NM TEBUTHIURON APPLICATION,2689,NEW MEXICO TEBUTHIURON APPLICATION LOSSES PROGRAM,0000,N/A
F7,HARD WHITE WINTER WHEAT,2691,HARD WHITE WINTER WHEAT INCENTIVE,0000,N/A
F8,YAKIMA BASIN WATER PROGRAM,2671,YAKIMA BASIN WATER PROGRAM,0000,N/A
F9,SUGAR BEET DISASTER PROGRAM,2693,SUGAR BEET DISASTER PROGRAM,0000,N/A
G1,SUGAR CANE PAYMENT PROGRAM,2686,SUGAR CANE PAYMENT PROGRAM,0000,N/A
G2,GRANTS FOR CATFISH PRODUCERS,2692,LCP - GRANTS FOR CATFISH PRODUCERS,0000,N/A
G3,2000 FLORIDA NURSERY LOSSES,2683,2000 FLORIDA NURSERY LOSSES PROGRAM,0000,N/A
G4,GRASSROOTS SOURCE WATER PROGRAM,3055,GRASSROOTS SOURCE WATER PROTECTION PROGRAM,0000,N/A
G5,TRADE ADJUSTMENT ASSISTANCE,2688,"TRADE ADJUSTMENT - FISH, SALMON",2721,FISH SALMON
G5,TRADE ADJUSTMENT ASSISTANCE,2688,"TRADE ADJUSTMENT - FISH, CATFISH",2821,FISH CATFISH
G5,TRADE ADJUSTMENT ASSISTANCE,2688,"TRADE ADJUSTMENT - FISH, SHRIMP",2830,FISH SHRIMP
G5,TRADE ADJUSTMENT ASSISTANCE,2688,"TRADE ADJUSTMENT - FISH, PRAWNS",2831,FISH PRAWNS
G5,TRADE ADJUSTMENT ASSISTANCE,2688,TRADE ADJUSTMENT - JUICE GRAPES,3220,JUICE GRAPES
G5,TRADE ADJUSTMENT ASSISTANCE,2688,"TRADE ADJUSTMENT - FRUIT, BLUEBERRIES",3445,FRUIT BLUEBERRIES
G5,TRADE ADJUSTMENT ASSISTANCE,2688,"TRADE ADJUSTMENT - FRUIT, APPLES",3450,FRUIT APPLES
G5,TRADE ADJUSTMENT ASSISTANCE,2688,"TRADE ADJUSTMENT - FRUIT, LONGANS",3455,FRUIT LONGANS
G5,TRADE ADJUSTMENT ASSISTANCE,2688,"TRADE ADJUSTMENT - AVOCADOS, FRESH",3460,"AVOCADOS, FRESH"
G5,TRADE ADJUSTMENT ASSISTANCE,2688,TRADE ADJUSTMENT - FRESH POTATOES,3810,FRESH POTATOES
G5,TRADE ADJUSTMENT ASSISTANCE,2688,"TRADE ADJUSTMENT - NUTS, LYCHEES",4730,NUTS LYCHEES
G5,TRADE ADJUSTMENT ASSISTANCE,2688,TRADE ADJUSTMENT - FRESH TABLE OLIVES,8170,FRESH TABLE OLIVES
G5,TRADE ADJUSTMENT ASSISTANCE,2688,TRADE ADJUSTMENT - SNAPDRAGONS,9820,SNAPDRAGONS
G5,TRADE ADJUSTMENT ASSISTANCE,2690,"TRADE ADJUSTMENT - FISH, SALMON",2721,FISH SALMON
G5,TRADE ADJUSTMENT ASSISTANCE,2690,"TRADE ADJUSTMENT - FISH, CATFISH",2821,FISH CATFISH
G5,TRADE ADJUSTMENT ASSISTANCE,2690,"TRADE ADJUSTMENT - FISH, SHRIMP",2830,FISH SHRIMP
G5,TRADE ADJUSTMENT ASSISTANCE,2690,"TRADE ADJUSTMENT - FISH, PRAWNS",2831,FISH PRAWNS
G5,TRADE ADJUSTMENT ASSISTANCE,2690,TRADE ADJUSTMENT - JUICE GRAPES,3220,JUICE GRAPES
G5,TRADE ADJUSTMENT ASSISTANCE,2690,"TRADE ADJUSTMENT - FRUIT, BLUEBERRIES",3445,FRUIT BLUEBERRIES
G5,TRADE ADJUSTMENT ASSISTANCE,2690,"TRADE ADJUSTMENT - FRUIT, APPLES",3450,FRUIT APPLES
G5,TRADE ADJUSTMENT ASSISTANCE,2690,"TRADE ADJUSTMENT - FRUIT, LONGANS",3455,FRUIT LONGANS
G5,TRADE ADJUSTMENT ASSISTANCE,2690,TRADE ADJUSTMENT - FRESH POTATOES,3810,FRESH POTATOES
G5,TRADE ADJUSTMENT ASSISTANCE,2690,"TRADE ADJUSTMENT - NUTS, LYCHEES",4730,NUTS LYCHEES
G5,TRADE ADJUSTMENT ASSISTANCE,2690,TRADE ADJUSTMENT - FRESH TABLE OLIVES,8170,FRESH TABLE OLIVES
G5,TRADE ADJUSTMENT ASSISTANCE,2690,TRADE ADJUSTMENT - SNAPDRAGONS,9820,SNAPDRAGONS
G5,TRADE ADJUSTMENT ASSISTANCE,2748,TRADE ADJUSTMENT ASSISTANCE FOR FARMERS,0000,N/A
G5,TRADE ADJUSTMENT ASSISTANCE,2748,"TRADE ADJUSTMENT - FISH, SALMON",2721,FISH SALMON
G5,TRADE ADJUSTMENT ASSISTANCE,2748,"TRADE ADJUSTMENT - FISH, CATFISH",2821,FISH CATFISH
G5,TRADE ADJUSTMENT ASSISTANCE,2748,"TRADE ADJUSTMENT - FISH, SHRIMP",2830,FISH SHRIMP
G5,TRADE ADJUSTMENT ASSISTANCE,2748,"TRADE ADJUSTMENT - FISH, PRAWNS",2831,FISH PRAWNS
G5,TRADE ADJUSTMENT ASSISTANCE,2748,TRADE ADJUSTMENT - ALASKA SHRIMP,2832,ALASKA SHRIMP
G5,TRADE ADJUSTMENT ASSISTANCE,2748,TRADE ADJUSTMENT - MAINE LOBSTER,2840,MAINE LOBSTER
G5,TRADE ADJUSTMENT ASSISTANCE,2748,TRADE ADJUSTMENT - TILAPIA,2850,TILAPIA
G5,TRADE ADJUSTMENT ASSISTANCE,2748,TRADE ADJUSTMENT - GROUNDFISH,2860,GROUNDFISH
G5,TRADE ADJUSTMENT ASSISTANCE,2748,TRADE ADJUSTMENT - JUICE GRAPES,3220,JUICE GRAPES
G5,TRADE ADJUSTMENT ASSISTANCE,2748,"TRADE ADJUSTMENT - FRUIT, BLUEBERRIES",3445,FRUIT BLUEBERRIES
G5,TRADE ADJUSTMENT ASSISTANCE,2748,"TRADE ADJUSTMENT - FRUIT, APPLES",3450,FRUIT APPLES
G5,TRADE ADJUSTMENT ASSISTANCE,2748,"TRADE ADJUSTMENT - FRUIT, LONGANS",3455,FRUIT LONGANS
G5,TRADE ADJUSTMENT ASSISTANCE,2748,"TRADE ADJUSTMENT - AVOCADOS, FRESH",3460,"AVOCADOS, FRESH"
G5,TRADE ADJUSTMENT ASSISTANCE,2748,TRADE ADJUSTMENT - ASPARAGUS,3492,ASPARAGUS
G5,TRADE ADJUSTMENT ASSISTANCE,2748,TRADE ADJUSTMENT - FRESH POTATOES,3810,FRESH POTATOES
G5,TRADE ADJUSTMENT ASSISTANCE,2748,"TRADE ADJUSTMENT - NUTS, LYCHEES",4730,NUTS LYCHEES
G5,TRADE ADJUSTMENT ASSISTANCE,2748,TRADE ADJUSTMENT - FRESH TABLE OLIVES,8170,FRESH TABLE OLIVES
G5,TRADE ADJUSTMENT ASSISTANCE,2748,TRADE ADJUSTMENT - SNAPDRAGONS,9820,SNAPDRAGONS
G5,TRADE ADJUSTMENT ASSISTANCE,2782,TRADE ADJUSTMENT ASSISTANCE FOR FARMERS,0000,N/A
G5,TRADE ADJUSTMENT ASSISTANCE,2787,TRADE ADJUSTMENT ASSISTANCE FOR FARMERS,0000,N/A
G5,TRADE ADJUSTMENT ASSISTANCE,2788,TRADE ADJUSTMENT ASSISTANCE FOR FARMERS,0000,N/A
G6,FL HURRICANE CITRUS DIS,2697,FLORIDA HURRICANE CHARLEY CITRUS DISASTER,0000,N/A
G6,FL HURRICANE CITRUS DIS,2772,FLORIDA HURRICANE CITRUS DISASTER,0000,N/A
G7,FL NURSERY DISASTER,2710,FLORIDA HURRICANE NURSERY DISASTER,0000,N/A
G8,FL VEGETABLE DISASTER,2711,FLORIDA HURRICANE VEGETABLE DISASTER,0000,N/A
G9,CROP DISASTER PROGRAM - 2005,2715,CROP DISASTER PROGRAM,0000,N/A
H1,CROP DISASTER - VIRGINIA,2716,CROP DISASTER - VIRGINIA,0000,N/A
H2,CROP DISASTER - NORTH CAROLINA,2717,CROP DISASTER - NORTH CAROLINA,0000,N/A
H3,LIVESTOCK ASSISTANCE PROGRAM,2526,EMERGENCY LIVESTOCK FEED ASSISTANCE,0000,N/A
H3,LIVESTOCK ASSISTANCE PROGRAM,2527,LIVESTOCK INDEMNITY - CONTRACT GROWERS,0000,N/A
H4,HI TRANSP ASSISTANCE PROGRAM,6036,HAWAII SUGAR TRANSPORTATION ASSISTANCE  PROGRAM,0000,N/A
H5,MILK INCOME LOSS II,8020,MILK INCOME LOSS CONTRACT II,0000,N/A
H6,HURRICANE INDEMNITY PROGRAM,2721,HURRICANE INDEMNITY PROGRAM,0000,N/A
H6,HURRICANE INDEMNITY PROGRAM,2749,"HURRICANE INDEMNITY PROGRAM, AUTHORIZED",0000,N/A
H7,TREE INDEMNITY PROGRAM,2722,TREE INDEMNITY PROGRAM,0000,N/A
H8,FEED INDEMNITY PROGRAM,2723,FEED INDEMNITY PROGRAM,0000,N/A
H9,AQUACULTURE BLOCK GRANT,2724,DISASTER - AQUACULTURE BLOCK GRANT,0000,N/A
